video_id,published_at,view_count,duration
U0Cg8texcz0,2026-08-16,293060,PT10M1S
D39SfAxuzVg,2026-08-04,32501,PT12M36S
Dbk1zjahEjM,2026-07-25,22253,PT16M10S
4TunR4xxzoU,2026-07-10,25782,PT12M50S
1aqqUlv05b0,2026-06-28,55693,PT10M22S
CJx-92s66yM,2026-06-18,241794,PT15M19S
lTddAsdqyz4,2026-06-07,23208,PT8M57S
7_tlccykYGI,2026-05-29,21014,PT8M3S
eo4lfmeMeTU,2026-05-22,24852,PT9M55S
aq9JXVO0fVs,2026-05-16,26868,PT7M21S
SZXFt90FojE,2026-05-09,46975,PT5M47S
TjqLewSOQcc,2026-04-30,73299,PT10M39S
jkc5BapYS1w,2026-04-26,14533,PT8M34S
2ncYxi7Vp7o,2026-04-17,15116,PT6M28S
L26zptbLFGY,2026-04-12,19740,PT5M38S
0Hv6afjiC9k,2026-04-04,25565,PT9M15S
ne0qRU4-lTo,2026-03-29,77015,PT7M20S
YezG0CySM2I,2026-03-20,48319,PT6M40S
eDBbQhUuMjU,2026-03-13,1370022,PT6M39S
ieRSh7-8OMc,2026-03-07,89838,PT8M38S
mgXC6IwuuX0,2026-02-27,148352,PT9M3S
De8jrgT3qdY,2026-02-14,19885,PT8M7S
WGwEYP3r0nI,2026-01-30,45018,PT11M31S
Mosf9ncd7dg,2026-01-23,408433,PT10M31S
ax0xwnMY6Fk,2026-01-10,42529,PT10M8S
7jF6hz4yN1A,2026-01-03,78624,PT15M25S
alhejeYeN90,2025-12-27,27362,PT11M6S
yqBhLzpT2c8,2025-12-25,37103,PT9M22S
xjeYuMld1YI,2025-12-05,43448,PT14M43S
wOPDbiLtCx8,2025-11-28,31151,PT9M27S
22oI-oZXoKU,2025-11-16,30673,PT11M42S
bfM1VlfLnbM,2025-11-01,214337,PT15M48S
V2kw46nh12I,2025-10-13,29106,PT15M47S
xjlfC-xzkGc,2025-10-04,159673,PT18M20S
8kuptHZj2uU,2025-09-13,58816,PT16M43S
ZKd_k03kT7o,2025-09-05,88199,PT19M32S
hRMxG7d6ZhA,2025-08-29,1621891,PT17M28S
T6g-QnYxuUU,2025-08-01,186847,PT10M14S
tpBUdsXNAaQ,2025-07-18,139478,PT12M2S
AIY5b_vR-60,2025-05-30,164496,PT12M10S
lH7JFr7Fz3g,2025-04-11,59141,PT8M31S
mBqTn9WPlkY,2025-03-07,312958,PT7M32S
Kmest4bi-Z0,2025-02-22,54942,PT9M12S
1vXaOsKEwNY,2025-02-22,53628,PT3M24S
MYz7-w34YR0,2024-11-08,93865,PT4M43S
J28fpTNUwQc,2024-10-25,246039,PT7M59S
2jH_pr8nGQU,2024-10-11,767815,PT6M34S
ZaVyV7bcQTI,2024-09-27,96145,PT9M25S
tyEiP2KJBUA,2024-09-13,171799,PT7M16S
Dlf4XnppFJM,2024-08-30,151314,PT9M8S
