video_id,published_at,view_count,duration,era
JPIoKeW4808,2026-08-14,388132,PT17M7S,historic-machines
ZLHCdo9VWeg,2026-07-10,540713,PT19M38S,historic-machines
rQl3GRPxAEI,2026-06-12,889228,PT26M46S,historic-machines
tCHk2ZteXEo,2026-05-15,875082,PT22M50S,historic-machines
MfdZXTNTe24,2026-04-17,531499,PT22M21S,historic-machines
hqmKhFXAjZA,2026-03-31,502220,PT19M34S,historic-machines
_YC-YyFGg8E,2026-03-14,497348,PT23M37S,historic-machines
jO30q8FSyM8,2026-02-10,1410623,PT16M51S,historic-machines
QDk1KvPoWoY,2026-01-17,211205,PT18M12S,historic-machines
7uAkLk2zFOE,2025-11-28,974285,PT18M28S,historic-machines
AIBGUHFGeLc,2025-11-05,611341,PT22M26S,historic-machines
0KKHYtSLI1g,2025-10-04,1468115,PT15M55S,historic-machines
4WlpTvmzwrk,2025-08-30,3263299,PT21M55S,historic-machines
LSCCi9ZhnZs,2025-07-31,429508,PT20M38S,historic-machines
-Nt17NRanG0,2025-06-28,2791384,PT22M2S,historic-machines
QQ2HjdkHVZM,2025-05-29,239574,PT10M18S,historic-machines
lXaBxX4ieFY,2025-05-03,1116114,PT9M37S,historic-machines
bmvxRMYxlhE,2025-04-03,6223827,PT16M52S,historic-machines
afTqwfxfAyg,2024-12-30,81031,PT8M14S,single-object
tYczGNS_ebc,2024-09-08,74985,PT6M5S,single-object
lA-xQqxkm2w,2024-08-06,119549,PT7M52S,single-object
Tbjc19Z89ic,2024-06-16,121155,PT7M22S,single-object
JWxg5bR7g2Q,2024-04-26,1521971,PT4M54S,single-object
IxBK7a_LXwI,2024-03-29,453638,PT8M15S,single-object
0BtXgE6NSYE,2023-12-02,3763988,PT5M57S,single-object
GSycYP_ShoQ,2023-11-02,286365,PT5M18S,single-object
xD2UPVOaLvg,2023-09-22,444849,PT4M29S,single-object
TMhrBeGkYow,2023-08-11,1606180,PT8M11S,single-object
